country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Brunei,2023,BRN,458959,,0,0,11.77,0.415,3.657,12.508,0.418,3.457,27.253,,,25.644,,,3.109,6.775,,,,0,414.24,499.477,11.454,80.905,219.538,104.379,102.342,,,,0.214,0.465,5.066,11.038,35.845,37.338,0.738,1.608,4.641,10.113,0.154,0.337,3.381,7.367,,,,0,0.031,0.03,0.02,0,0.023,0.019,0.001,0.409,0.081,0.013,0.016,,0.052,0.064,0.02,0.028,,0.03,0,0,0.001,0,17.137,16.452,,
Bulgaria,2023,BGR,6795804,,1.069,0.157,36.094,-10.872,-23.149,30.748,-10.573,-25.587,4.524,,0.154,5.311,,0.181,14.885,2.19,,,,107.861,3961.461,5005.202,2210.098,11.568,353.183,1193.35,1245.338,33.413,29796.029,,0.563,0.083,4.805,0.707,6.564,6.862,-5.346,-0.787,9.915,1.459,4.172,0.614,13.459,1.98,0.193,1.313,199.267,0.068,0.096,0.074,0.097,0.223,0.219,0.191,0.265,0.058,0.131,0.146,0.198,0.324,0.137,0.061,-0.147,0.11,0.436,0.158,0,0.002,0.003,0,46.631,44.61,,
Burkina Faso,2023,BFA,23025778,,1.178,0.051,6.187,-0.187,-2.939,28.936,-0.254,-0.872,1.257,,,0.269,,,,,,,,9.884,88.716,1160.062,,0,,1261.299,78.827,,,,0,0,,,0.637,2.53,22.749,0.988,24.879,1.08,10.21,0.443,5.009,0.218,,,,0.075,0.016,0.07,,0.02,0.005,0.044,,0,,0.154,0.013,,0,,0.628,0.041,,0.092,0.001,0.001,0.002,0,58.261,14.661,,
Burundi,2023,BDI,13689455,,0.003,0,0.71,0.002,0.341,5.434,-0.041,-0.754,0.397,,,0.052,,,0.054,0.004,,,,0.011,15.414,337.085,0.846,0,,518.944,14.557,,,,0,0,,,0.348,0.694,4.725,0.345,5.208,0.38,1.652,0.121,0.653,0.048,,,,0,0.002,0.013,0,0,0.001,0.013,0,0,,0.063,0.002,,0,,0.13,0.005,,0.027,0,0,0,0,9.505,4.769,,
Cambodia,2023,KHM,17423881,,5.887,0.338,20.178,0.57,2.906,64.294,0.917,1.447,3.69,,,1.158,,,4.44,0.255,,,,38.78,223.764,3340.164,34.595,0.024,,5043.711,150.365,,,,0,0,,,1.522,4.763,44.115,2.532,25.271,1.45,4.82,0.277,9.852,0.565,,,,0.375,0.053,0.155,0.029,0.08,0.012,0.127,0.004,0,,0.615,0.024,,0,,1.217,0.081,,0.164,0.001,0.002,0.003,0,82.998,26.522,,
Cameroon,2023,CMR,28372688,,1.744,0.061,9.941,-0.104,-1.04,30.837,-1.189,-3.714,1.087,,,0.35,,,,,,,,22.753,299.983,2915.759,,56.56,16.372,3717.142,204.035,,,,1.253,0.044,1.141,0.04,1.012,2.297,20.896,0.736,26.134,0.921,6.328,0.223,5.803,0.205,,,,0.111,0.026,0.074,,0.047,0.017,0.111,,0.286,0.006,0.454,0.032,,0.305,0.014,0.576,0.048,,0.183,0.001,0.002,0.003,0,65.175,28.708,,
Canada,2023,CAN,39299099,,6.752,0.172,549.299,-1.313,-0.238,654.023,-3.731,-0.567,16.642,,0.169,13.977,,0.142,36.769,0.936,,,,389.773,35156.32,75698.234,9788.218,655.645,8763.307,40542.285,15466.149,93.227,99916.398,,17.495,0.445,237.269,6.038,16.336,20.357,104.724,2.665,109.381,2.783,44.815,1.14,248.853,6.332,0.055,2.161,3874.887,0.43,1.453,1.579,0.239,0.806,1.94,2.881,1.172,3.312,3.245,4.947,2.461,0.905,4.257,3.003,2.889,2.038,0.718,2.168,0.006,0.029,0.036,0.002,800.006,641.995,,
Cape Verde,2023,CPV,522335,,0,0,0.535,-0.02,-3.605,0.544,-0.019,-3.324,1.042,,,1.024,,,,,,,,0.072,16.185,20.241,,0,,7.596,15.869,,,,0,0,,,1.39,1.621,0.01,0.018,0.223,0.427,0.085,0.163,0.535,1.024,,,,0,0.001,0.001,,0,0.001,0.001,,0,,0.001,0.003,,0,,0,0.004,,0.001,0,0,0,0,0.847,0.726,,
Central African Republic,2023,CAF,5152417,,0,0,0.281,0.011,3.952,4.365,-0.033,-0.752,0.847,,,0.055,,,,,,,,0,12.116,500.28,,0,,864.184,12.097,,,,0,0,,,0.769,5.369,4.083,0.793,12.304,2.388,9.74,1.89,0.281,0.055,,,,0,0.001,0.011,,0,0.001,0.019,,0,,0.105,0.002,,0,,0.113,0.002,,0.077,0.001,0,0.001,0,27.662,3.962,,
Chad,2023,TCD,19319073,,0.198,0.01,3.079,0.075,2.486,8.657,-0.519,-5.652,0.448,,,0.159,,,,,,,,1.566,48.924,766.995,,5.661,,1228.176,41.686,,,,0.398,0.021,,,0.505,6.3,5.578,0.289,70.042,3.626,29.358,1.52,2.484,0.129,,,,0.013,0.008,0.021,,0.003,0.003,0.029,,0.029,,0.15,0.007,,0.097,,0.154,0.02,,0.167,0.002,0.001,0.003,0,121.708,9.747,,
